ipo_firm,assignee_firm,ticker,is_common,patent_cnt
Albany International,"Albany International Techniweave, Inc.",AAIC,1,9
Albany Molecular Research Inc,"Albany Molecular Research, Inc.",AMRI,1,95
Alcobra Ltd,Alcobra Ltd.,ADHD,0,8
Alcon Inc,Alcon (Puerto Rico) Inc.,ACL,0,1
Alcon Inc,Alcon Components Limited,ACL,0,3
Alcon Inc,Alcon Corporation,ACL,0,1
Alcon Inc,Alcon Fujikura Limited,ACL,0,2
Alcon Inc,"Alcon Global Fasteners, Inc.",ACL,0,1
Alcon Inc,Alcon Grieshaber AG,ACL,0,3
Alcon Inc,"Alcon Instrumentation, Inc.",ACL,0,1
Alcon Inc,Alcon International Limited,ACL,0,1
Alcon Inc,"Alcon Laboratories, Inc.",ACL,0,422
Alcon Inc,"Alcon LenSx, Inc.",ACL,0,44
Alcon Inc,"Alcon LexSx, Inc.",ACL,0,1
Alcon Inc,"Alcon Manufacturing, Ltd.",ACL,0,81
Alcon Inc,"Alcon Pharamceuticals, Ltd.",ACL,0,1
Alcon Inc,Alcon Pharmaceuticals Ltd.,ACL,0,26
Alcon Inc,"Alcon RefractiveHorizons, Inc.",ACL,0,18
Alcon Inc,"Alcon Research, LLC",ACL,0,1
Alcon Inc,"Alcon Research, Ltd.",ACL,0,347
Alcon Inc,"Alcon Surgical, Inc.",ACL,0,32
